Link,Title,Author,Rating,Total Views,Average Views,Followers,Favorites,Ratings,Pages,Patreon Link,Patron Count,Earnings
https://www.royalroad.com/fiction/50260/innocent-world-online,Innocent World Online,Minato Yatsushiro,4.666665,1392.0,278.0,23.0,3.0,3.0,57.0,,,
https://www.royalroad.com/fiction/53637/help-my-wizard-mentor-had-a-heart-attack-and-now,Help! My Wizard Mentor Had a Heart Attack and Now I'm Being Chased by a Horde of Giant Spiders! ,aaronhodges,3.5,1564.0,223.0,23.0,3.0,1.0,66.0,,,
https://www.royalroad.com/fiction/53000/merigold-lee,Merigold Lee,Crea S Ward,4.27778,5838.0,243.0,23.0,3.0,18.0,202.0,,,
https://www.royalroad.com/fiction/57197/revolt-of-the-9-gods-cultivation-litrpg,Revolt of the 9 Gods [Cultivation LitRPG],Nani86,4.0,2045.0,102.0,23.0,4.0,3.0,190.0,,,
https://www.royalroad.com/fiction/52967/the-final-dungeon,The FINAL Dungeon,Triple Bombazo,4.833335,944.0,157.0,23.0,2.0,3.0,32.0,,,
https://www.royalroad.com/fiction/47593/path-of-the-cultured-uncultured-one,Path Of The Cultured Uncultured One,tomka151,2.714285,8333.0,160.0,23.0,4.0,7.0,174.0,,,
https://www.royalroad.com/fiction/52046/the-prophets-ascension,The Prophet's Ascension ,Lijan Talinal,3.333335,2826.0,86.0,23.0,4.0,3.0,205.0,,,
https://www.royalroad.com/fiction/53876/the-demon-king-has-been-defeated-now-what,The Demon King Has Been Defeated! Now What?,MelanDelora,2.25,6379.0,168.0,23.0,7.0,2.0,254.0,,,
https://www.royalroad.com/fiction/35888/zee-wanted-book-2-of-ovr-world-online,"Zee Wanted, Book 2 of OVR World Online",Justin Monroe,4.75,1049.0,131.0,23.0,10.0,8.0,53.0,,,
https://www.royalroad.com/fiction/48590/world-egg,World Egg,Barrent,4.2,5089.0,108.0,23.0,8.0,5.0,539.0,,,
https://www.royalroad.com/fiction/51710/heavy-weapons-sweet-venom,Heavy Weapons - Sweet Venom,Beta_Krogoth,3.8,6338.0,198.0,23.0,9.0,5.0,422.0,,,
https://www.royalroad.com/fiction/58716/fowl-fantasy,Fowl Fantasy,B.A.Davey,5.0,447.0,89.0,23.0,2.0,1.0,32.0,,,
https://www.royalroad.com/fiction/58115/dungeon-diaries-confessions-of-a-mimic,Dungeon Diaries: Confessions of a Mimic,Proteus Nihil,4.3,1097.0,183.0,23.0,8.0,5.0,10.0,,,
https://www.royalroad.com/fiction/38879/the-edge-of-vision,The Edge of Vision,ArtfulDodger,4.07143,4135.0,180.0,23.0,3.0,7.0,50.0,,,
https://www.royalroad.com/fiction/37687/heart-of-fire,Heart of Fire,Sera Cross,3.25,11629.0,247.0,23.0,4.0,4.0,582.0,,,
